id,product_name,desc1,desc2,desc3,categories,product_image,discount_price,actual_price,subcategories,quantity_desc,save_rs,hidden
155,Everest Black Pepper Powder,• Fine ground and really aromatic Everest Black Pepper Powder is well-known for its exceptional flavor,• It has a hot taste and spicy,"• It's made by grinding peppercorns, which are dried berries from the vine Piper nigrum",Masalas & Spices,Everest_Black_Pepper_Powder.jpg,72,76,1,50gm,4,Everest Black Pepper Masala Everest Kali Miri Masala Everest Pepper Powder Evrest Black Pepper Powder Masala Everest Masalas Everest  Masala Everest Powders Everest Kala Miri Powder
57,Moong Dal Chilka,"• It is rich in Vitamin A, B, C and E",• Healthy weight loss food as it is a low-fat food rich in proteins and fibre,"• It tastes delicious, especially when cooked with Indian spices.",Dal & Pulses,Moong_Dal_Chilka.,24,29,0,250gm,5,Green Moong Dal Maash Moong dal Mung Bean Monggo Munggo split green gram spilit fotra wali mag ni dal mag dal chilka dal Green Moong Dal Split
250,Bhuna Chana,• One such healthy snack that can easily be added in your weight loss diet i,• They also offer a multitude of nutrients that support just as many aspects of human health,• Chana contains a lot of protein. Eating chana everyday ensures that you get your daily quota of protein,Atta & Flour,Bhuna_Chana.jpg,50,70,0,500gm,20,Dry Roasted Chana Dal Chana Roasted Black Gram Roasted Chickbeans Roasted Bengal Gram
18,Akhrot,• Rich in Antioxidants,• Supports Weight Control,• Super Plant Source of Omega-3s,Dry Fruits,akhrot0802.jpg,1260,1400,1,1kg,140,Walnut Mahogany Akrot Dry Brain Brain shape Akhrat Akrat
91,Besan,• Rich in vitamins and minerals,• Packed with fiber,• It has a nutty flavor and provides a rich supply of protein,Atta & Flour,Basan.jpg,80,100,1,1kg,20,Chane ka Atta Chana Atta Gram Flour Gram Flour Garbanzo Bean Flour Basan Beson Bason Beson Besan Flour
176,Penne Pasta,•  Pasta Penne is made with 100% fine quality Durum wheat,"• Very healthy since it is nil cholesterol, nil fat and good source of Iron, Protein and fiber","• The perfect hollow center of the pasta helps hold sauce, and makes it more delicious",Pasta & Fries,0,30,60,0,500gm,30,Pasta Penne Wheat Pasta Organic Pasta Durum Pasta Durum Wheat Pasta Organic Wheat Pasta
97,Sooji - Rawa,"• Instant Energy, Increases Iron","• Supports Nervous System, Heart Health, Promotes Weight Loss",• Pure and natural product,Atta & Flour,Sujji_-_Rava.jpg,10,12,0,250gm,2,Sujji Suji Rava Semolina Granulated Wheat
215,Rice 5 Star,"• Medium-grained, export quality rice from Swarno Dhan",• Healthy rice at affordable price,O,Rice & Wheat,Rice_5_Star.jpg,1375,1500,1,25kg,125,0
93,Besan,• Rich in vitamins and minerals,• Packed with fiber,• It has a nutty flavor and provides a rich supply of protein,Atta & Flour,Basan.jpg,20,25,0,250gm,5,Chane ka Atta Chana Atta Gram Flour Gram Flour Garbanzo Bean Flour Basan Beson Bason Beson Besan Flour
234,Khopra Katta,• Dry Copra/Coconut is rich in dietary fibre and it helps in having a healthy heart,"• It improves brain function, boosts the immune system, reduces anaemia and the risk of cancer",• Dry coconut whole (Gola) is a good dry fruits for health,Dal & Pulses,Khopra_Katta.jpg,60,65,0,250gm,5,Copra Dry Coconut Kopra Gota Gotta Dry Coconut Halves Nariyal Narel Copra Kopra Dry Nariyal Coconut Kuridi Kobbari Sabut Gola Coconut Sabut Gota
